		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	LABELS	q5	q25	q50	q75	q95	q5	q25	q50	q75	q95	q5	q25	q50	q75	q95	q5	q25	q50	q75	q95
																					
educ	Años de educación	0.0328	-0.0197	-0.0257**	-0.0579***	-0.0623*	0.0328	-0.0197	-0.0257**	-0.0579***	-0.0623*	0.0328	-0.0197	-0.0257**	-0.0579***	-0.0623*	0.0328	-0.0197	-0.0257**	-0.0579***	-0.0623*
		(0.0364)	(0.0158)	(0.0127)	(0.0178)	(0.0341)	(0.0356)	(0.0156)	(0.0130)	(0.0175)	(0.0341)	(0.0364)	(0.0158)	(0.0127)	(0.0178)	(0.0341)	(0.0364)	(0.0158)	(0.0127)	(0.0178)	(0.0341)
c.educ#c.educ		0.00270*	0.00444***	0.00442***	0.00596***	0.00606***	0.00270*	0.00444***	0.00442***	0.00596***	0.00606***	0.00270*	0.00444***	0.00442***	0.00596***	0.00606***	0.00270*	0.00444***	0.00442***	0.00596***	0.00606***
		(0.00160)	(0.000653)	(0.000567)	(0.000780)	(0.00136)	(0.00156)	(0.000648)	(0.000580)	(0.000770)	(0.00135)	(0.00160)	(0.000653)	(0.000567)	(0.000780)	(0.00136)	(0.00160)	(0.000653)	(0.000567)	(0.000780)	(0.00136)
edad	Edad	0.0274**	0.0445***	0.0389***	0.0348***	0.0228**	0.0274**	0.0445***	0.0389***	0.0348***	0.0228**	0.0274**	0.0445***	0.0389***	0.0348***	0.0228**	0.0274**	0.0445***	0.0389***	0.0348***	0.0228**
		(0.0114)	(0.00587)	(0.00374)	(0.00447)	(0.00922)	(0.0112)	(0.00586)	(0.00366)	(0.00451)	(0.00940)	(0.0114)	(0.00587)	(0.00374)	(0.00447)	(0.00922)	(0.0114)	(0.00587)	(0.00374)	(0.00447)	(0.00922)
c.edad#c.edad		-0.000320**	-0.000506***	-0.000398***	-0.000333***	-0.000182	-0.000320**	-0.000506***	-0.000398***	-0.000333***	-0.000182	-0.000320**	-0.000506***	-0.000398***	-0.000333***	-0.000182	-0.000320**	-0.000506***	-0.000398***	-0.000333***	-0.000182
		(0.000135)	(7.47e-05)	(4.60e-05)	(5.37e-05)	(0.000111)	(0.000131)	(7.46e-05)	(4.47e-05)	(5.44e-05)	(0.000113)	(0.000135)	(7.47e-05)	(4.60e-05)	(5.37e-05)	(0.000111)	(0.000135)	(7.47e-05)	(4.60e-05)	(5.37e-05)	(0.000111)
female	Mujer (=1)	-0.323***	-0.116***	-0.125***	-0.129***	-0.107***	-0.323***	-0.116***	-0.125***	-0.129***	-0.107***	-0.323***	-0.116***	-0.125***	-0.129***	-0.107***	-0.323***	-0.116***	-0.125***	-0.129***	-0.107***
		(0.0468)	(0.0183)	(0.0158)	(0.0156)	(0.0320)	(0.0476)	(0.0183)	(0.0155)	(0.0153)	(0.0323)	(0.0468)	(0.0183)	(0.0158)	(0.0156)	(0.0320)	(0.0468)	(0.0183)	(0.0158)	(0.0156)	(0.0320)
caba	Reside en CABA (=1)	0.311***	0.117***	0.123***	0.0954***	0.139***	0.311***	0.117***	0.123***	0.0954***	0.139***	0.311***	0.117***	0.123***	0.0954***	0.139***	0.311***	0.117***	0.123***	0.0954***	0.139***
		(0.0575)	(0.0225)	(0.0150)	(0.0184)	(0.0318)	(0.0601)	(0.0216)	(0.0152)	(0.0183)	(0.0320)	(0.0575)	(0.0225)	(0.0150)	(0.0184)	(0.0318)	(0.0575)	(0.0225)	(0.0150)	(0.0184)	(0.0318)
Constant	Constant	1.276***	1.972***	2.454***	2.985***	3.750***	1.276***	1.972***	2.454***	2.985***	3.750***	1.276***	1.972***	2.454***	2.985***	3.750***	1.276***	1.972***	2.454***	2.985***	3.750***
		(0.320)	(0.144)	(0.0982)	(0.145)	(0.269)	(0.314)	(0.143)	(0.101)	(0.143)	(0.264)	(0.320)	(0.144)	(0.0982)	(0.145)	(0.269)	(0.320)	(0.144)	(0.0982)	(0.145)	(0.269)
																					
Observations		7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903	7,903
Standard errors in parentheses																					
*** p<0.01, ** p<0.05, * p<0.1																					
